Area,County FIPS,Age-Adjusted Rate per 100,0,Lower CI,Upper CI,Count
"Dallam, Texas",48111,378.5,313.6,452.6,125,
"Fort Bend, Texas",48157,377.1,370.7,383.6,14541,
"Llano, Texas",48299,376.7,346.3,409.7,836,
"Moore, Texas",48341,376,338,417.1,370,
"Live Oak, Texas",48297,375.5,333.7,421.4,324,
"Nacogdoches, Texas",48347,375,354.5,396.5,1329,
"Upton, Texas",48461,374.7,291.1,474.7,72,
"Karnes, Texas",48255,372,331.4,416.3,316,
"Midland, Texas",48329,368.5,354.7,382.7,2839,
"Bandera, Texas",48019,365.8,336.9,397,748,
"Ochiltree, Texas",48357,364.7,311.1,424.8,173,
"Pecos, Texas",48371,359,319,402.7,297,
"Zapata, Texas",48505,357.9,314,406.1,245,
"Crosby, Texas",48107,357.4,296,428.3,130,
"Bailey, Texas",48017,357.3,298.4,424.6,135,
"Cameron, Texas",48061,357,348.9,365.2,7638,
"Brooks, Texas",48047,355.3,298.1,420.5,150,
"Zavala, Texas",48507,353.3,307.1,404.5,219,
"Duval, Texas",48131,352.3,307.8,401.5,239,
"Cochran, Texas",48079,351.1,269,452,63,
"Kent, Texas",48263,350.9,210,568.5,23,
"Hall, Texas",48191,350.7,275.9,442.6,86,
"Dimmit, Texas",48127,348.8,300.4,402.8,198,
"Willacy, Texas",48489,346.7,312.5,383.6,385,
"Frio, Texas",48163,346.5,309,387.1,318,
"Hidalgo, Texas",48215,344,338.1,350,13062,
"La Salle, Texas",48283,343.3,285.8,409.2,128,
"Garza, Texas",48169,343,279.5,416.8,104,
"Jack, Texas",48237,341.8,294.3,395.2,193,
"Donley, Texas",48129,341.5,267.6,431.8,88,
"Edwards, Texas",48137,340.7,240.3,472,51,
"Andrews, Texas",48003,340.5,300.7,383.9,276,
"Parmer, Texas",48369,338.7,289.9,393.6,177,
"Castro, Texas",48069,338.5,282.7,402,142,
"Gaines, Texas",48165,337.4,298,380.3,281,
"Kinney, Texas",48271,335.6,267.7,417.4,99,
"Shackelford, Texas",48417,335.6,261.6,425.8,79,
"Webb, Texas",48479,331.8,321,342.8,3723,
"Terrell, Texas",48443,329.6,182.3,558.5,18,
"Jim Hogg, Texas",48247,329.4,264.7,405.3,97,
"Brewster, Texas",48043,329.1,284.3,379.7,222,
"Real, Texas",48385,327.7,261.5,409.2,107,
"Mason, Texas",48319,323,261.3,397.2,120,
"Reeves, Texas",48389,321,281.1,364.9,235,
"Hartley, Texas",48205,319.5,260.8,388.1,104,
"San Saba, Texas",48411,318.1,265.3,379.6,148,
"McMullen, Texas",48311,311.9,196.5,494.5,23,
"Roberts, Texas",48393,306.1,186.3,488.3,21,
"Hemphill, Texas",48211,305.9,234.8,392.3,65,
"Hudspeth, Texas",48229,300.9,235.1,379.7,75,
"Collingsworth, Texas",48087,297.8,225.8,387.6,61,
"Concho, Texas",48095,297.7,228.8,383.9,71,
"Oldham, Texas",48359,297.2,208.6,414,39,
"Culberson, Texas",48109,287,199.4,401.4,40,
"Glasscock, Texas",48173,284.9,179.2,432.4,23,
"Throckmorton, Texas",48447,278.5,196,394.8,41,
"Presidio, Texas",48377,262.2,215,317.2,124,
"Sherman, Texas",48421,248.3,178.8,336.7,43,
"Jeff Davis, Texas",48243,174.4,121,272.2,47,
"Kenedy, Texas",48261,no data/suppressed,undefined,undefined,undefined,
"Loving, Texas",48301,no data/suppressed,undefined,undefined,undefined,
"King, Texas",48269,no data/suppressed,undefined,undefined,undefined,
,,,,,,
undefined,,,,,,
